org_name,slug,primary_need,rent_slug,unlit_records
Community Action Social Services & Education,community-action-social-services-education-ceap,utility,,community-action-social-services-education-wap
Community Council of Greater Dallas,community-council-of-greater-dallas-ceap,utility,community-council-of-greater-dallas-csbg,community-council-of-greater-dallas-wap
"Community Council of South Central Texas, Inc.",community-council-of-south-central-texas-inc-ceap,utility,community-council-of-south-central-texas-inc-csbg,community-council-of-south-central-texas-inc-wap
"Community Services of Northeast Texas, Inc.",community-services-of-northeast-texas-inc-ceap,utility,community-services-of-northeast-texas-inc-csbg,community-services-of-northeast-texas-inc-wap
"Community Services, Inc.",community-services-inc-ceap,utility,,community-services-inc-wap
Concho Valley Community Action Agency,concho-valley-community-action-agency-ceap,utility,concho-valley-community-action-agency-csbg,concho-valley-community-action-agency-wap
Cornerstone Community Action Agency,cornerstone-community-action-agency-ceap,utility,cornerstone-community-action-agency-csbg,cornerstone-community-action-agency-wap
Covenant House Texas,covenant-house-texas,rent,,
Craven County Department of Social Services,craven-county-department-of-social-services-energy,utility,craven-county-department-of-social-services-emergency,craven-county-department-of-social-services-fns
Crossroads Community Action,crossroads-community-action-ceap,utility,crossroads-community-action-csbg,crossroads-community-action-wap
Cumberland County Department of Social Services,cumberland-county-department-of-social-services-energy,utility,cumberland-county-department-of-social-services-emergency,cumberland-county-department-of-social-services-fns
Currituck County Department of Social Services,currituck-county-department-of-social-services-energy,utility,currituck-county-department-of-social-services-emergency,currituck-county-department-of-social-services-fns
Cypress Assistance Ministries,cypress-assistance-ministries,other,,
Dallas County Department of Health and Human Services,dallas-county-department-of-health-and-human-services-ceap,utility,dallas-county-department-of-health-and-human-services-csbg,dallas-county-department-of-health-and-human-services-wap
Dare County Department of Social Services,dare-county-department-of-social-services-energy,utility,dare-county-department-of-social-services-emergency,dare-county-department-of-social-services-fns
Davidson County Department of Social Services,davidson-county-department-of-social-services-energy,utility,davidson-county-department-of-social-services-emergency,davidson-county-department-of-social-services-fns
Davie County Department of Social Services,davie-county-department-of-social-services-energy,utility,davie-county-department-of-social-services-emergency,davie-county-department-of-social-services-fns
Desoto County Board of Commissioners,desoto-county-board-of-commissioners-liheap,utility,,
Duplin County Department of Social Services,duplin-county-department-of-social-services-energy,utility,duplin-county-department-of-social-services-emergency,duplin-county-department-of-social-services-fns
Durham County Department of Social Services,durham-county-department-of-social-services-energy,utility,durham-county-department-of-social-services-emergency,durham-county-department-of-social-services-fns
Economic Action Committee of the Gulf Coast,economic-action-committee-of-the-gulf-coast-ceap,utility,,economic-action-committee-of-the-gulf-coast-wap
Economic Opportunities Advancement Corporation,economic-opportunities-advancement-corporation-ceap,utility,economic-opportunities-advancement-corporation-csbg,economic-opportunities-advancement-corporation-wap
"Economic Opportunities Council of Indian River County, Inc.",economic-opportunities-council-of-indian-river-county-liheap,utility,,
Edgecombe County Department of Social Services,edgecombe-county-department-of-social-services-energy,utility,edgecombe-county-department-of-social-services-emergency,edgecombe-county-department-of-social-services-fns
"El Paso Community Action, Project BRAVO",el-paso-community-action-project-bravo-ceap,utility,el-paso-community-action-project-bravo-csbg,el-paso-community-action-project-bravo-wap
FloridaCommerce (state administers LIHEAP directly),floridacommerce-state-administers-liheap-directly-liheap,utility,,
Forsyth County Department of Social Services,forsyth-county-department-of-social-services-energy,utility,forsyth-county-department-of-social-services-emergency,forsyth-county-department-of-social-services-fns
"Fort Worth, City of, Neighborhood Services Department",fort-worth-city-of-neighborhood-services-department-ceap,utility,fort-worth-city-of-neighborhood-services-department-csbg,fort-worth-city-of-neighborhood-services-department-wap
Franklin County Department of Social Services,franklin-county-department-of-social-services-energy,utility,franklin-county-department-of-social-services-emergency,franklin-county-department-of-social-services-fns
Galveston County Food Bank,galveston-county-food-bank,other,,
Gaston County Department of Social Services,gaston-county-department-of-social-services-energy,utility,gaston-county-department-of-social-services-emergency,gaston-county-department-of-social-services-fns
Gates County Department of Social Services,gates-county-department-of-social-services-energy,utility,gates-county-department-of-social-services-emergency,gates-county-department-of-social-services-fns
Graham County Department of Social Services,graham-county-department-of-social-services-energy,utility,graham-county-department-of-social-services-emergency,graham-county-department-of-social-services-fns
Granville County Department of Social Services,granville-county-department-of-social-services-energy,utility,granville-county-department-of-social-services-emergency,granville-county-department-of-social-services-fns
Greater East Texas Community Action Program (GETCAP),greater-east-texas-community-action-program-getcap-ceap,utility,greater-east-texas-community-action-program-getcap-csbg,greater-east-texas-community-action-program-getcap-wap
Greene County Department of Social Services,greene-county-department-of-social-services-energy,utility,greene-county-department-of-social-services-emergency,greene-county-department-of-social-services-fns
Guadalupe Economic Services Corporation,guadalupe-economic-services-corporation-wap,other,,
Guilford County Department of Social Services,guilford-county-department-of-social-services-energy,utility,guilford-county-department-of-social-services-emergency,guilford-county-department-of-social-services-fns
Gulf Coast Community Services Association,gulf-coast-community-services-association-ceap,utility,gulf-coast-community-services-association-csbg,
Halifax County Department of Social Services,halifax-county-department-of-social-services-energy,utility,halifax-county-department-of-social-services-emergency,halifax-county-department-of-social-services-fns
Harnett County Department of Social Services,harnett-county-department-of-social-services-energy,utility,harnett-county-department-of-social-services-emergency,harnett-county-department-of-social-services-fns
Harris County Area Agency on Aging,harris-county-area-agency-on-aging,other,,
Harris County Community Services,harris-county-community-services,utility,,
Harris County Community Services — NW Satellite Office,harris-county-community-services-nw-satellite-office,utility,,
Harris County Department of Education,harris-county-department-of-education,other,,
Haywood County Department of Social Services,haywood-county-department-of-social-services-energy,utility,haywood-county-department-of-social-services-emergency,haywood-county-department-of-social-services-fns
Henderson County Department of Social Services,henderson-county-department-of-social-services-energy,utility,henderson-county-department-of-social-services-emergency,henderson-county-department-of-social-services-fns
Hertford County Department of Social Services,hertford-county-department-of-social-services-energy,utility,hertford-county-department-of-social-services-emergency,hertford-county-department-of-social-services-fns
Hidalgo County Community Services Agency,hidalgo-county-community-services-agency-ceap,utility,hidalgo-county-community-services-agency-csbg,hidalgo-county-community-services-agency-wap
"Hill Country Community Action Association, Inc.",hill-country-community-action-association-inc-ceap,utility,hill-country-community-action-association-inc-csbg,hill-country-community-action-association-inc-wap
Hillsborough County Social Services Department,hillsborough-county-social-services-department-liheap,utility,,
Hoke County Department of Social Services,hoke-county-department-of-social-services-energy,utility,hoke-county-department-of-social-services-emergency,hoke-county-department-of-social-services-fns
