	1	Agricultural and Labor Program, Inc.			+18639563491	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	7	69	1,035,380	Collier; Glades; Hendry; Highlands; Martin; Polk; St. Lucie	33440 33471 33825 33826 33852 33857 33862 33870 33871 33872 33875 33876 33935 33960 33975 34101 34102 34103 34104 34105 34106 34107 34108 34109 34110 34112 34113 34114 34116 34117 34119 34120 34134 34141 34142 34145 34146 34945 34946 34947 34948 34949 34950 34951 34952 34953 34954 34957 34974 34979 34981 34982 34983 34984 34985 34986 34987 34988 34990 75936 75939 75960 77335 77351 77360 77399 79749 79782 79783	FloridaCommerce LIHEAP provider list	agricultural-and-labor-program-inc-liheap	
	2	Alamance County Department of Social Services	Burlington		+13365706532	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	183,040	Alamance	27201 27215 27216 27217 27244 27249 27253 27258 27298 27302 27349 27359	NCDHHS Local DSS Directory	alamance-county-department-of-social-services-energy	alamance-county-department-of-social-services-emergency
	3	Alexander County Department of Social Services	Taylorsville		+18286321080	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	36,693	Alexander	28601 28636 28678 28681	NCDHHS Local DSS Directory	alexander-county-department-of-social-services-energy	alexander-county-department-of-social-services-emergency
	4	Alleghany County Department of Social Services	Sparta		+13363722411	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	11,379	Alleghany	28623 28627 28631 28644 28663 28668 28672 28675	NCDHHS Local DSS Directory	alleghany-county-department-of-social-services-energy	alleghany-county-department-of-social-services-emergency
	5	Anson County Department of Social Services	Wadesboro		+17046949351	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	22,432	Anson	28007 28091 28119 28133 28135 28170	NCDHHS Local DSS Directory	anson-county-department-of-social-services-energy	anson-county-department-of-social-services-emergency
	6	Ashe County Department of Social Services	Jefferson		+13368465719	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	27,266	Ashe	28615 28617 28626 28629 28631 28640 28643 28644 28672 28684 28693 28694 28698	NCDHHS Local DSS Directory	ashe-county-department-of-social-services-energy	ashe-county-department-of-social-services-emergency
	7	Avery County Department of Social Services	Newland		+18287338230	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	5	17,811	Avery	28604 28611 28622 28657 28777	NCDHHS Local DSS Directory	avery-county-department-of-social-services-energy	avery-county-department-of-social-services-emergency
	8	Bay County Council on Aging, Inc.			+18502150173	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	17	199,718	Bay	32401 32402 32403 32404 32405 32406 32407 32408 32409 32411 32413 32417 32437 32438 32444 32456 32466	FloridaCommerce LIHEAP provider list	bay-county-council-on-aging-inc-liheap	
	9	Beaufort County Department of Social Services	Washington		+12529755500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	44,576	Beaufort	27806 27808 27810 27814 27817 27821 27837 27860 27865 27889 27962 28586	NCDHHS Local DSS Directory	beaufort-county-department-of-social-services-energy	beaufort-county-department-of-social-services-emergency
	10	Bertie County Department of Social Services			+12527945320	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	16,939	Bertie	27805 27847 27849 27872 27910 27924 27957 27983	NCDHHS Local DSS Directory	bertie-county-department-of-social-services-energy	bertie-county-department-of-social-services-emergency
	11	Bladen County Department of Social Services	Elizabethtown		+19108626800	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	14	29,777	Bladen	28320 28337 28384 28392 28399 28423 28433 28434 28438 28441 28444 28447 28448 28456	NCDHHS Local DSS Directory	bladen-county-department-of-social-services-energy	bladen-county-department-of-social-services-emergency
