	78	Miami-Dade County Community Action Agency			+17864694640	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	114	2,838,461	Miami-Dade	33002 33010 33011 33012 33013 33014 33015 33016 33017 33018 33030 33031 33032 33033 33034 33035 33054 33055 33056 33090 33092 33101 33109 33114 33116 33119 33122 33124 33125 33126 33127 33128 33129 33130 33131 33132 33133 33134 33135 33136 33137 33138 33139 33140 33141 33142 33143 33144 33145 33146 33147 33149 33150 33152 33153 33154 33155 33156 33157 33158 33160 33161 33162 33163 33164 33165 33166 33167 33168 33169 33170 33172 33173 33174 33175 33176 33177 33178 33179 33180 33181 33182 33183 33184 33185 33186 33187 33189 33190 33193 33194 33195 33196 33197 33222 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296	FloridaCommerce LIHEAP provider list	miami-dade-county-community-action-agency-liheap	
	79	Mitchell County Department of Social Services	Bakersville		+18286882175	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	8,968	Mitchell	79512 79532 79565	NCDHHS Local DSS Directory	mitchell-county-department-of-social-services-energy	mitchell-county-department-of-social-services-emergency
	80	Monroe County Board of County Commissioners			+13052924408	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	12	80,908	Monroe	33001 33036 33037 33040 33041 33042 33043 33045 33050 33051 33052 33070	FloridaCommerce LIHEAP provider list	monroe-county-board-of-county-commissioners-liheap	
	81	Montgomery County Department of Social Services	Troy		+19105766531	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	28	749,613	Montgomery	77301 77302 77303 77304 77305 77306 77316 77318 77328 77339 77353 77354 77355 77356 77357 77362 77365 77372 77378 77380 77381 77382 77384 77385 77386 77387 77393 77873	NCDHHS Local DSS Directory	montgomery-county-department-of-social-services-energy	montgomery-county-department-of-social-services-emergency
	82	Moore County Department of Social Services	Carthage		+19109472436	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	5	21,872	Moore	79013 79018 79029 79058 79086	NCDHHS Local DSS Directory	moore-county-department-of-social-services-energy	moore-county-department-of-social-services-emergency
	83	Nash County Department of Social Services			+12524599818	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	11	97,990	Nash	27557 27803 27804 27807 27809 27816 27822 27856 27868 27882 27891	NCDHHS Local DSS Directory	nash-county-department-of-social-services-energy	nash-county-department-of-social-services-emergency
	84	New Hanover County Department of Social Services	Wilmington		+19107983500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	14	243,333	New Hanover	28401 28402 28403 28404 28405 28406 28408 28409 28411 28412 28428 28429 28449 28480	NCDHHS Local DSS Directory	new-hanover-county-department-of-social-services-energy	new-hanover-county-department-of-social-services-emergency
	85	Northampton County Department of Social Services	Jackson		+12525345811	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	16,580	Northampton	27820 27831 27832 27842 27845 27853 27855 27862 27866 27869 27876 27897	NCDHHS Local DSS Directory	northampton-county-department-of-social-services-energy	northampton-county-department-of-social-services-emergency
	86	Northeast Florida Community Action Agency, Inc.			+19042594481	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	7	56	702,989	Baker; Clay; Duval; Flagler; Nassau; Putnam; St. Johns	32004 32009 32011 32033 32034 32035 32040 32041 32046 32063 32080 32081 32082 32084 32085 32086 32087 32092 32095 32097 32110 32112 32131 32135 32136 32137 32139 32140 32145 32147 32148 32164 32174 32177 32178 32181 32187 32189 32193 32259 32260 32640 32666 76228 76261 76305 76310 76357 76365 76377 76389 78341 78349 78357 78376 78384	FloridaCommerce LIHEAP provider list	northeast-florida-community-action-agency-inc-liheap	
	87	Onslow County Department of Social Services	Jacksonville		+19104554145	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	18	212,954	Onslow	28445 28454 28460 28518 28521 28539 28540 28541 28542 28543 28544 28545 28546 28547 28555 28574 28582 28584	NCDHHS Local DSS Directory	onslow-county-department-of-social-services-energy	onslow-county-department-of-social-services-emergency
