	17	Cabarrus County Department of Social Services	Kannapolis		+17049201400	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	244,925	Cabarrus	NCDHHS Local DSS Directory	cabarrus-county-department-of-social-services-energy	cabarrus-county-department-of-social-services-emergency
	18	Caldwell County Department of Social Services				Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	9	52,430	Caldwell	NCDHHS Local DSS Directory	caldwell-county-department-of-social-services-energy	caldwell-county-department-of-social-services-emergency
	19	Camden County Department of Social Services	Camden		+12523314787	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	11,184	Camden	NCDHHS Local DSS Directory	camden-county-department-of-social-services-energy	camden-county-department-of-social-services-emergency
	20	Capital Area Community Action Agency			+18509202511	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	4	37,115	Wakulla	FloridaCommerce LIHEAP provider list	capital-area-community-action-agency-liheap	
	21	Capital Area Community Action Agency, Inc.			+18507590824	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	7	59	476,569	Calhoun; Franklin; Gadsden; Gulf; Jefferson; Leon; Liberty	FloridaCommerce LIHEAP provider list	capital-area-community-action-agency-inc-liheap	
	22	Carteret County Department of Social Services	Beaufort		+12527283181	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	17	70,259	Carteret	NCDHHS Local DSS Directory	carteret-county-department-of-social-services-energy	carteret-county-department-of-social-services-emergency
	23	Caswell County Department of Social Services	Yanceyville		+13366944141	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	22,363	Caswell	NCDHHS Local DSS Directory	caswell-county-department-of-social-services-energy	caswell-county-department-of-social-services-emergency
	24	Catawba County Department of Social Services	Hickory		+18286955600	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	167,054	Catawba	NCDHHS Local DSS Directory	catawba-county-department-of-social-services-energy	catawba-county-department-of-social-services-emergency
	25	Central Florida Community Action Agency, Inc.			+13523737667	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	3	43	349,251	Alachua; Levy; Marion	FloridaCommerce LIHEAP provider list	central-florida-community-action-agency-inc-liheap	
	26	Charlotte County Department of Human Services			+19418336500	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	17	212,122	Charlotte	FloridaCommerce LIHEAP provider list	charlotte-county-department-of-human-services-liheap	
	27	Chatham County Department of Social Services	Pittsboro		+19195422759	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	83,874	Chatham	NCDHHS Local DSS Directory	chatham-county-department-of-social-services-energy	chatham-county-department-of-social-services-emergency
	28	Cherokee County Department of Social Services	Murphy		+18288377455	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	9	53,223	Cherokee	NCDHHS Local DSS Directory	cherokee-county-department-of-social-services-energy	cherokee-county-department-of-social-services-emergency
	29	Chowan County Department of Social Services	Edenton		+12524827441	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	13,891	Chowan	NCDHHS Local DSS Directory	chowan-county-department-of-social-services-energy	chowan-county-department-of-social-services-emergency
	30	Citrus County Division of Housing Services			+13525277520	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	22	170,174	Citrus	FloridaCommerce LIHEAP provider list	citrus-county-division-of-housing-services-liheap	
	31	Clay County Department of Social Services	Hayesville		+18283896301	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	10,730	Clay	NCDHHS Local DSS Directory	clay-county-department-of-social-services-energy	clay-county-department-of-social-services-emergency
	32	Cleveland County Department of Social Services	Shelby		+17044870661	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	102,194	Cleveland	NCDHHS Local DSS Directory	cleveland-county-department-of-social-services-energy	cleveland-county-department-of-social-services-emergency
	33	Columbus County Department of Social Services	Whiteville		+19106422800	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	14	50,054	Columbus	NCDHHS Local DSS Directory	columbus-county-department-of-social-services-energy	columbus-county-department-of-social-services-emergency
	34	Community Action Program Committee, Inc.			+18506072088	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	23	331,275	Escambia	FloridaCommerce LIHEAP provider list	community-action-program-committee-inc-liheap	
	35	Craven County Department of Social Services	New Bern		+12526364900	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	13	104,167	Craven	NCDHHS Local DSS Directory	craven-county-department-of-social-services-energy	craven-county-department-of-social-services-emergency
	36	Cumberland County Department of Social Services	Fayetteville		+19103231540	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	22	338,430	Cumberland	NCDHHS Local DSS Directory	cumberland-county-department-of-social-services-energy	cumberland-county-department-of-social-services-emergency
