county_fips,name,state,slug,population
48371,Pecos County,TX,pecos-county,14712
48373,Polk County,TX,polk-county,54258
48375,Potter County,TX,potter-county,114649
48377,Presidio County,TX,presidio-county,5686
48379,Rains County,TX,rains-county,13306
48381,Randall County,TX,randall-county,150547
48383,Reagan County,TX,reagan-county,3139
48385,Real County,TX,real-county,2772
48387,Red River County,TX,red-river-county,11696
48389,Reeves County,TX,reeves-county,11956
48391,Refugio County,TX,refugio-county,6739
48393,Roberts County,TX,roberts-county,837
48395,Robertson County,TX,robertson-county,17659
48397,Rockwall County,TX,rockwall-county,137044
48399,Runnels County,TX,runnels-county,9751
48401,Rusk County,TX,rusk-county,53391
48403,Sabine County,TX,sabine-county,10058
48405,San Augustine County,TX,san-augustine-county,7767
48407,San Jacinto County,TX,san-jacinto-county,29326
48409,San Patricio County,TX,san-patricio-county,71467
48411,San Saba County,TX,san-saba-county,5508
48413,Schleicher County,TX,schleicher-county,2302
48415,Scurry County,TX,scurry-county,16211
48417,Shackelford County,TX,shackelford-county,3169
48419,Shelby County,TX,shelby-county,24192
48421,Sherman County,TX,sherman-county,2771
48423,Smith County,TX,smith-county,249091
48425,Somervell County,TX,somervell-county,10098
48427,Starr County,TX,starr-county,66587
48429,Stephens County,TX,stephens-county,9475
48431,Sterling County,TX,sterling-county,1387
48433,Stonewall County,TX,stonewall-county,1235
48435,Sutton County,TX,sutton-county,3269
48437,Swisher County,TX,swisher-county,6877
48439,Tarrant County,TX,tarrant-county,2230708
48441,Taylor County,TX,taylor-county,148813
48443,Terrell County,TX,terrell-county,718
48445,Terry County,TX,terry-county,11602
48447,Throckmorton County,TX,throckmorton-county,1532
48449,Titus County,TX,titus-county,31547
48451,Tom Green County,TX,tom-green-county,120103
48453,Travis County,TX,travis-county,1363767
48455,Trinity County,TX,trinity-county,14489
48457,Tyler County,TX,tyler-county,20560
48459,Upshur County,TX,upshur-county,44050
48461,Upton County,TX,upton-county,3128
48463,Uvalde County,TX,uvalde-county,25138
