zip,primary_state,population
27821,NC,216
27822,NC,8351
27823,NC,6354
27824,NC,1113
27825,NC,84
27826,NC,1126
27827,NC,41
27828,NC,8673
27829,NC,1786
27830,NC,4377
27831,NC,3009
27832,NC,2630
27833,NC,
27834,NC,55051
27835,NC,
27836,NC,
27837,NC,5871
27839,NC,3509
27840,NC,457
27841,NC,49
27842,NC,1469
27843,NC,931
27844,NC,2932
27845,NC,1489
27846,NC,2731
27847,NC,714
27849,NC,1027
27850,NC,6462
27851,NC,5023
27852,NC,2673
27853,NC,394
27855,NC,5908
27856,NC,17029
27857,NC,1075
27858,NC,52857
27860,NC,1749
27861,NC,70
27862,NC,820
27863,NC,12520
27864,NC,4133
27865,NC,1926
27866,NC,756
27867,NC,
27868,NC,
27869,NC,1832
27870,NC,25738
27871,NC,3951
27872,NC,222
27873,NC,295
27874,NC,4027
27875,NC,390
27876,NC,1127
27877,NC,2
27878,NC,1323
27879,NC,278
27880,NC,3347
27881,NC,32
27882,NC,7648
27883,NC,3398
27884,NC,1156
27885,NC,802
27886,NC,18776
27887,NC,
27888,NC,2100
27889,NC,26054
27890,NC,2150
27891,NC,4626
27892,NC,13864
27893,NC,37131
27894,NC,
27895,NC,
27896,NC,20683
27897,NC,1370
27906,NC,
27907,NC,
27909,NC,40606
27910,NC,10662
27915,NC,832
27916,NC,913
27917,NC,658
27919,NC,1120
27920,NC,1181
27921,NC,4978
27922,NC,788
27923,NC,552
27924,NC,2620
27925,NC,3017
27926,NC,1606
27927,NC,1457
27928,NC,1670
27929,NC,2471
27932,NC,11930
27935,NC,1485
27936,NC,994
27937,NC,3524
27938,NC,1330
27939,NC,2722
27941,NC,673
27942,NC,623
27943,NC,577
27944,NC,11406
27946,NC,1154
27947,NC,1139
27948,NC,12095
27949,NC,8151
27950,NC,1918
27953,NC,947
27954,NC,6510
27956,NC,251
27957,NC,1251
27958,NC,12078
27959,NC,3182
27960,NC,797
27962,NC,6788
27964,NC,447
27965,NC,563
27966,NC,1183
27967,NC,428
27968,NC,213
27969,NC,159
27970,NC,2798
27973,NC,1610
27974,NC,886
27976,NC,3918
27978,NC,214
27979,NC,1393
27980,NC,1915
27981,NC,1544
27982,NC,132
27983,NC,8945
27985,NC,169
27986,NC,2226
28001,NC,27185
28002,NC,
28006,NC,899
28007,NC,631
28009,NC,1210
28010,NC,
28012,NC,26202
28016,NC,13313
28017,NC,553
28018,NC,5320
28019,NC,40
28020,NC,2430
28021,NC,13669
28023,NC,15144
28024,NC,14
28025,NC,58260
28026,NC,
28027,NC,76478
28031,NC,30836
28032,NC,3279
28033,NC,2862
28034,NC,19258
28035,NC,
28036,NC,21244
28037,NC,25596
28038,NC,
28039,NC,62
28040,NC,7472
28041,NC,30
28042,NC,111
28043,NC,20183
28052,NC,35332
28053,NC,
28054,NC,40548
28055,NC,
28056,NC,34332
28070,NC,
28071,NC,3147
28072,NC,864
28073,NC,5356
28074,NC,15
28075,NC,21366
28076,NC,358
28077,NC,362
28078,NC,67863
28079,NC,39051
28080,NC,7964
28081,NC,28583
28082,NC,
28083,NC,25821
28086,NC,27641
28088,NC,3343
28089,NC,153
28090,NC,7870
28091,NC,1766
28092,NC,38719
28093,NC,
28097,NC,6876
28098,NC,3868
28101,NC,736
28102,NC,94
28103,NC,10164
28104,NC,34521
28105,NC,44085
28106,NC,
28107,NC,9353
28108,NC,50
28109,NC,541
28110,NC,53316
28111,NC,
28112,NC,27126
28114,NC,7351
28115,NC,43413
28117,NC,46917
28119,NC,2044
28120,NC,24017
28123,NC,
28124,NC,6922
28125,NC,2687
28126,NC,
28127,NC,7571
28128,NC,7119
28129,NC,5817
28130,NC,
28133,NC,2550
28134,NC,12411
28135,NC,4779
28136,NC,42
28137,NC,2804
28138,NC,10855
28139,NC,18665
28144,NC,26254
28145,NC,
28146,NC,29572
28147,NC,26618
28150,NC,28517
28151,NC,
28152,NC,25643
28159,NC,3067
28160,NC,3869
28163,NC,5334
28164,NC,14903
28166,NC,10357
28167,NC,2417
28168,NC,10120
28169,NC,169
28170,NC,10337
28173,NC,64144
28174,NC,9269
28201,NC,
28202,NC,16447
28203,NC,18572
28204,NC,9411
28205,NC,49600
28206,NC,14053
28207,NC,9184
28208,NC,38614
28209,NC,24836
28210,NC,46843
28211,NC,31917
28212,NC,41009
28213,NC,47215
28214,NC,42925
28215,NC,61842
