zip,county_fips,area_ratio,res_ratio
75455,48159,0.0373,
75455,48449,0.9627,
75457,48159,1.0,
75459,48181,1.0,
75460,48277,1.0,
75462,48277,1.0,
75468,48277,1.0,
75469,48119,0.8566,
75469,48147,0.0005,
75469,48231,0.1428,
75470,48277,1.0,
75471,48223,0.9472,
75471,48499,0.0528,
75472,48223,0.0116,
75472,48379,0.9884,
75473,48277,1.0,
75474,48231,0.955,
75474,48257,0.045,
75475,48147,1.0,
75476,48147,1.0,
75477,48277,1.0,
75478,48159,0.084,
75478,48223,0.916,
75479,48147,0.9693,
75479,48181,0.0307,
75480,48159,0.9707,
75480,48499,0.0293,
75481,48159,0.075,
75481,48223,0.925,
75482,48223,1.0,
75486,48277,1.0,
75487,48159,0.6635,
75487,48449,0.3365,
75488,48147,1.0,
75489,48181,1.0,
75490,48147,0.9679,
75490,48181,0.0321,
75491,48085,0.0061,
75491,48147,0.4097,
75491,48181,0.5842,
75492,48147,1.0,
75493,48449,1.0,
75494,48159,0.1757,
75494,48223,0.1021,
75494,48459,0.0306,
75494,48499,0.6916,
75495,48085,0.0545,
75495,48181,0.9455,
75496,48147,0.4097,
75496,48231,0.5903,
75497,48223,0.2498,
75497,48379,0.0022,
75497,48499,0.748,
75501,48037,1.0,
75503,48037,1.0,
75550,48387,1.0,
75551,48067,1.0,
75554,48037,0.1898,
75554,48387,0.8102,
75555,48067,0.9126,
75555,48315,0.0874,
75556,48067,0.9913,
75558,48343,0.0093,
75558,48449,0.9907,
75559,48037,0.9181,
75559,48387,0.0819,
75560,48067,1.0,
75561,48037,1.0,
75562,48067,1.0,
75563,48067,1.0,
75564,48067,1.0,
75565,48067,1.0,
75566,48067,1.0,
75567,48037,1.0,
75568,48067,0.7362,
75568,48343,0.2638,
75569,48037,1.0,
75570,48037,1.0,
75571,48343,0.9234,
75571,48449,0.0766,
75572,48067,1.0,
75573,48037,1.0,
75574,48037,1.0,
75601,48183,0.7792,
75601,48203,0.2208,
75602,48183,0.1916,
75602,48203,0.8084,
75603,48183,0.8909,
75603,48401,0.1091,
75604,48183,0.9793,
75604,48459,0.0207,
75605,48183,0.5836,
75605,48203,0.4066,
75605,48459,0.0098,
75630,48067,0.5513,
75630,48315,0.4487,
75631,48365,1.0,
75633,48365,1.0,
75638,48067,0.0303,
75638,48343,0.9697,
75639,48365,1.0,
75640,48203,0.5992,
75640,48315,0.027,
75640,48459,0.3737,
75641,48183,0.2102,
75641,48401,0.7898,
75642,48203,0.3454,
75642,48365,0.6546,
75643,48365,0.8668,
75643,48419,0.1332,
75644,48459,1.0,
75645,48183,0.0219,
75645,48459,0.9781,
75647,48183,0.4323,
75647,48423,0.3214,
75647,48459,0.2463,
75650,48203,1.0,
75651,48203,0.9088,
75651,48315,0.0912,
75652,48365,0.0166,
75652,48401,0.9834,
75654,48073,0.0036,
75654,48401,0.9964,
75656,48067,0.9173,
75656,48343,0.0827,
75657,48067,0.0761,
75657,48203,0.0511,
75657,48315,0.8728,
75658,48401,1.0,
75659,48203,1.0,
75661,48203,1.0,
75662,48183,0.5276,
75662,48401,0.3955,
75662,48423,0.0769,
75667,48401,1.0,
75668,48315,0.1808,
75668,48343,0.8192,
75669,48365,0.8292,
75669,48401,0.1708,
75670,48203,1.0,
75671,48203,1.0,
75672,48203,0.9975,
75672,48365,0.0025,
75680,48401,1.0,
75681,48401,1.0,
75682,48401,1.0,
75683,48315,0.1696,
75683,48459,0.8304,
75684,48401,0.8284,
75684,48423,0.1716,
75686,48063,0.694,
75686,48343,0.0133,
75686,48449,0.1071,
75686,48459,0.1857,
75687,48401,1.0,
75689,48401,1.0,
75691,48365,0.2168,
75691,48401,0.7832,
75692,48203,0.9384,
75692,48365,0.0616,
75693,48183,1.0,
75694,48203,1.0,
75701,48423,1.0,
75702,48423,1.0,
75703,48423,1.0,
75704,48423,1.0,
75705,48423,1.0,
75706,48423,1.0,
75707,48423,1.0,
75708,48423,1.0,
75709,48423,1.0,
75711,48423,1.0,
75750,48423,1.0,
75751,48001,0.3187,
75751,48213,0.6813,
75752,48001,0.0079,
75752,48213,0.8957,
75752,48467,0.0965,
75754,48467,1.0,
75755,48459,0.9524,
75755,48499,0.0476,
75756,48213,0.9696,
75756,48467,0.0304,
75757,48073,0.6937,
75757,48423,0.3063,
75758,48213,0.7992,
75758,48467,0.2008,
75759,48073,1.0,
75760,48347,0.6804,
75760,48401,0.3196,
75762,48423,1.0,
75763,48001,0.6909,
75763,48213,0.3091,
75764,48073,1.0,
75765,48459,0.0107,
75765,48499,0.9893,
75766,48073,1.0,
75770,48213,1.0,
75771,48423,1.0,
75773,48423,0.1756,
75773,48499,0.8244,
75778,48213,0.869,
75778,48467,0.131,
75779,48001,1.0,
75780,48073,1.0,
75782,48213,1.0,
75783,48499,1.0,
75784,48073,0.3841,
75784,48401,0.6159,
75785,48073,1.0,
75788,48347,1.0,
75789,48073,0.6352,
75789,48401,0.0052,
75789,48423,0.3596,
75790,48423,0.0414,
75790,48467,0.9586,
75791,48423,1.0,
75792,48423,1.0,
75801,48001,1.0,
75803,48001,0.9965,
75803,48213,0.0035,
75831,48161,0.2982,
75831,48289,0.7018,
75833,48289,1.0,
75835,48225,1.0,
75838,48161,0.8912,
75838,48293,0.1088,
75839,48001,0.9622,
75839,48225,0.0378,
75840,48161,1.0,
75844,48001,0.1776,
75844,48225,0.8224,
75845,48455,1.0,
75846,48289,0.8147,
75846,48293,0.1853,
75847,48225,0.8692,
75847,48455,0.1308,
75848,48161,1.0,
75849,48225,1.0,
75850,48289,1.0,
75851,48225,0.8812,
75851,48455,0.1188,
75852,48313,0.7775,
75852,48471,0.2225,
75853,48001,0.9779,
75853,48213,0.0221,
75855,48161,0.4196,
75855,48289,0.5804,
75856,48225,0.7098,
75856,48455,0.2902,
75858,48225,1.0,
75859,48161,0.7563,
75859,48349,0.2437,
75860,48161,1.0,
75861,48001,1.0,
75862,48455,0.788,
75862,48471,0.212,
75865,48455,1.0,
75884,48001,1.0,
75886,48001,1.0,
75901,48005,1.0,
75903,48005,1.0,
75904,48005,0.8503,
75904,48455,0.1497,
75925,48073,1.0,
75926,48455,1.0,
75928,48351,1.0,
75929,48405,1.0,
75930,48403,0.4371,
75930,48405,0.5629,
75931,48241,0.8334,
75931,48403,0.1666,
75932,48351,1.0,
75933,48241,0.0831,
75933,48351,0.9169,
75934,48373,1.0,
75935,48405,0.107,
75935,48419,0.893,
75936,48373,0.1779,
75936,48457,0.8221,
75937,48347,1.0,
75938,48457,1.0,
75939,48373,1.0,
75941,48005,1.0,
75942,48457,1.0,
75943,48347,1.0,
75944,48347,1.0,
75946,48347,0.6814,
75946,48401,0.3186,
75948,48351,0.0411,
75948,48403,0.9589,
75949,48005,1.0,
75951,48241,0.9946,
75951,48351,0.0054,
75954,48365,0.1213,
75954,48419,0.8787,
75956,48241,0.8816,
75956,48351,0.1184,
75959,48403,1.0,
75960,48373,1.0,
75961,48347,1.0,
75962,48347,1.0,
75964,48347,1.0,
75965,48347,1.0,
75966,48241,0.0115,
75966,48351,0.9885,
75968,48403,1.0,
75969,48005,0.8544,
75969,48073,0.1456,
75972,48403,0.1739,
75972,48405,0.788,
75972,48419,0.0382,
75973,48419,1.0,
75974,48365,0.4053,
75974,48419,0.5947,
75975,48365,0.0678,
75975,48401,0.0584,
75975,48419,0.8738,
75976,48073,1.0,
75977,48351,1.0,
75979,48457,1.0,
75980,48005,0.8835,
75980,48241,0.1165,
76001,48439,1.0,
76002,48439,1.0,
76005,48439,1.0,
76006,48439,1.0,
76008,48367,0.9287,
76008,48439,0.0713,
76009,48251,1.0,
76010,48439,1.0,
76011,48439,1.0,
76012,48439,1.0,
76013,48439,1.0,
76014,48439,1.0,
76015,48439,1.0,
76016,48439,1.0,
76017,48439,1.0,
76018,48439,1.0,
76020,48367,0.6687,
76020,48439,0.2959,
76020,48497,0.0354,
76021,48439,1.0,
76022,48439,1.0,
76023,48367,0.0284,
76023,48497,0.9716,
76028,48251,0.771,
76028,48439,0.229,
76031,48251,1.0,
76033,48221,0.071,
76033,48251,0.8572,
76033,48425,0.0718,
76034,48439,1.0,
76035,48221,0.2157,
76035,48251,0.1927,
76035,48367,0.5916,
76036,48251,0.2204,
76036,48439,0.7796,
76039,48439,1.0,
76040,48439,1.0,
76041,48139,1.0,
76043,48035,0.1812,
76043,48425,0.8188,
76044,48251,1.0,
76048,48221,0.9427,
76048,48425,0.0573,
76049,48221,0.98,
76049,48251,0.008,
76049,48367,0.012,
76050,48139,0.1809,
76050,48217,0.1835,
76050,48251,0.6356,
76051,48113,0.0163,
76051,48439,0.9837,
76052,48121,0.2367,
76052,48439,0.5723,
76052,48497,0.191,
76053,48439,1.0,
76054,48439,1.0,
76055,48217,1.0,
76058,48251,1.0,
76059,48251,1.0,
76060,48439,1.0,
76061,48251,1.0,
76063,48139,0.0106,
76063,48251,0.246,
76063,48439,0.7434,
76064,48139,1.0,
76065,48113,0.002,
76065,48139,0.998,
76066,48363,0.0236,
76066,48367,0.9764,
76067,48363,0.9067,
76067,48367,0.0933,
76070,48251,0.093,
76070,48425,0.907,
76071,48439,0.051,
76071,48497,0.949,
76073,48497,1.0,
76077,48425,1.0,
76078,48121,0.0039,
76078,48497,0.9961,
76082,48367,0.7384,
76082,48497,0.2616,
76084,48139,0.4758,
76084,48251,0.5242,
76085,48367,1.0,
76086,48367,1.0,
76087,48221,0.0442,
76087,48367,0.9558,
76088,48367,1.0,
76092,48121,0.0835,
76092,48439,0.9165,
76093,48217,0.1979,
76093,48251,0.8021,
76102,48439,1.0,
76103,48439,1.0,
76104,48439,1.0,
76105,48439,1.0,
76106,48439,1.0,
76107,48439,1.0,
76108,48367,0.277,
76108,48439,0.723,
76109,48439,1.0,
76110,48439,1.0,
76111,48439,1.0,
76112,48439,1.0,
76114,48439,1.0,
76115,48439,1.0,
76116,48439,1.0,
76117,48439,1.0,
76118,48439,1.0,
76119,48439,1.0,
76120,48439,1.0,
76123,48439,1.0,
76126,48367,0.2725,
76126,48439,0.7275,
76127,48439,1.0,
76129,48439,1.0,
76131,48439,1.0,
76132,48439,1.0,
76133,48439,1.0,
76134,48439,1.0,
76135,48439,1.0,
76137,48439,1.0,
76140,48439,1.0,
76148,48439,1.0,
76155,48439,1.0,
76164,48439,1.0,
76177,48121,0.3268,
76177,48439,0.6732,
76179,48439,1.0,
76180,48439,1.0,
76182,48439,1.0,
76201,48121,1.0,
76203,48121,1.0,
76205,48121,1.0,
76207,48121,1.0,
76208,48121,1.0,
76209,48121,1.0,
76210,48121,1.0,
76225,48337,0.0073,
76225,48497,0.9927,
76226,48121,1.0,
76227,48121,1.0,
76228,48077,0.8982,
76228,48337,0.1018,
76230,48077,0.0778,
76230,48237,0.314,
76230,48337,0.6082,
76233,48097,0.2402,
76233,48181,0.7598,
76234,48097,0.0585,
76234,48121,0.0219,
76234,48497,0.9196,
76238,48097,1.0,
76239,48097,0.1195,
76239,48337,0.8805,
76240,48097,0.9994,
76240,48181,0.0006,
76241,48097,1.0,
76244,48439,1.0,
76245,48181,1.0,
76247,48121,0.9658,
76247,48497,0.0342,
76248,48439,1.0,
76249,48121,0.9547,
76249,48497,0.0453,
76250,48097,1.0,
76251,48337,1.0,
76252,48097,0.9789,
76252,48337,0.0211,
76253,48097,1.0,
76255,48337,1.0,
76258,48097,0.0139,
76258,48121,0.8358,
76258,48181,0.1503,
76259,48121,0.9586,
76259,48497,0.0414,
76261,48077,0.3642,
76261,48337,0.6358,
76262,48121,0.7194,
76262,48439,0.2806,
76263,48097,1.0,
76264,48181,1.0,
76265,48097,0.163,
76265,48337,0.837,
76266,48097,0.0295,
76266,48121,0.9705,
76267,48497,1.0,
76268,48181,1.0,
76270,48337,0.7138,
76270,48497,0.2862,
76271,48097,0.2824,
76271,48181,0.7176,
76272,48097,0.9574,
76272,48121,0.0426,
76273,48097,0.4817,
76273,48181,0.5183,
76301,48485,1.0,
76302,48009,0.0005,
76302,48485,0.9995,
76305,48077,0.6861,
76305,48485,0.3139,
76306,48485,1.0,
76308,48009,0.1325,
76308,48485,0.8675,
76309,48485,1.0,
76310,48009,0.4642,
76310,48077,0.2654,
76310,48485,0.2704,
76311,48485,1.0,
76351,48009,1.0,
76354,48485,1.0,
76357,48077,1.0,
76360,48009,0.0647,
76360,48023,0.0043,
76360,48485,0.4975,
76360,48487,0.4335,
76363,48275,1.0,
76364,48487,1.0,
76365,48077,0.9681,
76365,48237,0.0319,
76366,48009,1.0,
76367,48485,1.0,
76370,48009,1.0,
76371,48207,0.0332,
76371,48275,0.9668,
76372,48447,0.5124,
76372,48503,0.4876,
76373,48487,1.0,
76374,48009,0.1845,
76374,48447,0.0315,
76374,48503,0.784,
76377,48077,1.0,
76379,48009,1.0,
76380,48023,0.9228,
76380,48275,0.0772,
76384,48155,0.0042,
76384,48487,0.9958,
76388,48207,1.0,
76389,48009,0.7193,
76389,48077,0.2132,
76389,48237,0.0675,
76401,48143,1.0,
76402,48143,1.0,
76424,48429,0.9658,
76424,48503,0.0342,
76426,48237,0.1255,
76426,48497,0.8745,
76427,48237,1.0,
76429,48363,0.0822,
76429,48429,0.9178,
76430,48417,0.9708,
76430,48447,0.0292,
76431,48237,0.2551,
76431,48497,0.7449,
76432,48049,0.5788,
76432,48093,0.4212,
76433,48143,0.7514,
76433,48221,0.1173,
76433,48425,0.1313,
76435,48133,1.0,
76436,48093,0.8563,
76436,48143,0.0316,
76436,48193,0.1121,
76437,48059,0.1563,
76437,48133,0.6929,
76437,48429,0.1508,
76439,48367,1.0,
76442,48093,0.9088,
76442,48193,0.0149,
76442,48333,0.0762,
76443,48049,0.2253,
76443,48059,0.7291,
76443,48083,0.0456,
76444,48093,0.9888,
76444,48143,0.0112,
76445,48093,0.1446,
76445,48133,0.8009,
76445,48143,0.0545,
76446,48093,0.2848,
76446,48143,0.7152,
76448,48133,1.0,
76449,48237,0.008,
76449,48363,0.992,
76450,48363,0.0572,
76450,48429,0.0918,
76450,48503,0.851,
76452,48093,1.0,
76453,48143,0.1925,
76453,48363,0.8075,
76454,48093,0.2426,
76454,48133,0.7574,
76455,48093,1.0,
76457,48035,0.08,
76457,48143,0.3396,
76457,48193,0.5803,
76458,48237,0.9946,
76458,48497,0.0054,
76459,48237,1.0,
76460,48503,1.0,
76462,48143,0.2563,
76462,48221,0.3654,
76462,48363,0.1306,
76462,48367,0.2477,
76463,48143,0.8928,
76463,48363,0.1072,
76464,48059,0.1415,
76464,48417,0.5811,
76464,48429,0.2773,
76466,48133,1.0,
76469,48059,1.0,
76470,48133,0.544,
76470,48429,0.456,
76471,48049,0.2739,
76471,48093,0.0847,
76471,48133,0.6414,
76472,48363,1.0,
76474,48049,0.0347,
76474,48093,0.9653,
76475,48133,0.1082,
76475,48363,0.7297,
76475,48429,0.1621,
76476,48221,1.0,
76481,48503,1.0,
76483,48447,1.0,
76484,48363,1.0,
76486,48237,0.6653,
76486,48363,0.1714,
76486,48367,0.1633,
76487,48237,0.1035,
76487,48367,0.6611,
76487,48497,0.2354,
76490,48367,1.0,
76491,48429,0.0139,
76491,48447,0.9861,
76501,48027,1.0,
76502,48027,1.0,
76504,48027,1.0,
76511,48027,0.571,
76511,48331,0.0623,
76511,48491,0.3667,
76513,48027,1.0,
76518,48331,1.0,
76519,48027,0.2837,
76519,48145,0.1458,
76519,48331,0.5704,
76520,48331,1.0,
76522,48099,0.8026,
76522,48281,0.1974,
76523,48331,1.0,
76524,48145,0.8036,
76524,48309,0.1964,
76525,48099,0.2716,
76525,48193,0.5146,
76525,48281,0.2137,
76527,48027,0.0662,
76527,48053,0.0764,
76527,48491,0.8574,
76528,48027,0.0161,
76528,48099,0.9839,
76530,48491,1.0,
76531,48093,0.0247,
76531,48193,0.9617,
76531,48333,0.0137,
76534,48027,0.9323,
76534,48331,0.0677,
76537,48491,1.0,
76538,48099,0.3093,
76538,48193,0.6907,
76539,48027,0.0506,
76539,48053,0.2176,
76539,48099,0.0176,
76539,48281,0.7143,
76541,48027,1.0,
76542,48027,1.0,
76543,48027,1.0,
76544,48027,0.2086,
76544,48099,0.7914,
76548,48027,1.0,
76549,48027,0.8854,
76549,48053,0.1139,
76549,48099,0.0008,
76550,48053,0.4156,
76550,48281,0.5844,
76554,48027,1.0,
76556,48051,0.0077,
76556,48331,0.9923,
76557,48027,0.4504,
76557,48099,0.1352,
76557,48309,0.4144,
76559,48027,1.0,
76561,48099,0.8948,
76561,48309,0.1052,
76565,48193,1.0,
76566,48099,0.6838,
76566,48193,0.3162,
76567,48051,0.0942,
76567,48331,0.9058,
76569,48027,0.7241,
76569,48331,0.2759,
76570,48027,0.0043,
76570,48145,0.6654,
76570,48331,0.3303,
76571,48027,1.0,
76573,48491,1.0,
76574,48453,0.0014,
76574,48491,0.9986,
76577,48331,0.9037,
76577,48491,0.0963,
76578,48331,0.0078,
76578,48491,0.9922,
76579,48027,0.8543,
76579,48145,0.1457,
76596,48099,1.0,
76597,48099,1.0,
76598,48099,1.0,
76599,48099,1.0,
76621,48217,0.9628,
76621,48309,0.0372,
76622,48217,0.9791,
76622,48309,0.0209,
76623,48139,1.0,
76624,48293,0.122,
76624,48309,0.878,
76626,48139,0.0521,
76626,48349,0.9479,
76627,48217,1.0,
76628,48217,1.0,
76629,48145,0.1835,
76629,48395,0.8165,
76630,48145,0.0747,
76630,48309,0.9253,
76631,48217,1.0,
76632,48145,1.0,
76633,48035,0.2697,
76633,48309,0.7303,
76634,48035,0.9786,
76634,48099,0.0214,
76635,48293,1.0,
76636,48217,1.0,
76637,48035,0.5661,
76637,48193,0.4339,
76638,48309,1.0,
76639,48349,1.0,
76640,48309,1.0,
76641,48139,0.0869,
76641,48349,0.9131,
76642,48293,1.0,
76643,48309,1.0,
76645,48217,1.0,
76648,48217,0.7545,
76648,48293,0.1426,
76648,48349,0.1029,
76649,48035,0.792,
76649,48143,0.208,
76650,48217,1.0,
76651,48139,1.0,
76652,48035,1.0,
76653,48145,0.3311,
76653,48293,0.5798,
76653,48395,0.0891,
76654,48309,1.0,
76655,48145,0.1664,
76655,48309,0.8336,
76656,48145,1.0,
76657,48099,0.0753,
76657,48309,0.9247,
76660,48217,1.0,
76661,48145,1.0,
76664,48145,0.0706,
76664,48293,0.6475,
76664,48309,0.2819,
76665,48035,1.0,
76666,48217,0.631,
76666,48349,0.369,
76667,48161,0.1802,
76667,48293,0.8198,
76670,48139,0.6251,
76670,48217,0.3749,
76671,48035,1.0,
76673,48217,0.6136,
76673,48293,0.3773,
76673,48309,0.0091,
76676,48217,1.0,
76678,48293,1.0,
76679,48349,1.0,
76680,48145,1.0,
76681,48349,1.0,
76682,48145,0.6086,
76682,48309,0.3914,
76685,48145,1.0,
76686,48293,1.0,
76687,48145,0.0095,
76687,48293,0.8267,
76687,48395,0.1638,
76689,48035,0.5856,
76689,48099,0.1344,
76689,48309,0.28,
76690,48035,0.6189,
76690,48143,0.0333,
76690,48425,0.3478,
76691,48217,0.0735,
76691,48309,0.9265,
76692,48217,1.0,
76693,48161,0.5232,
76693,48293,0.1021,
76693,48349,0.3747,
76701,48309,1.0,
76704,48309,1.0,
76705,48309,1.0,
76706,48145,0.0429,
76706,48309,0.9571,
76707,48309,1.0,
76708,48309,1.0,
76710,48309,1.0,
76711,48309,1.0,
76712,48309,1.0,
76798,48309,1.0,
76801,48049,0.9473,
76801,48083,0.0307,
76801,48333,0.022,
76802,48049,1.0,
76820,48319,1.0,
76821,48399,1.0,
76823,48049,0.8749,
76823,48083,0.1251,
76824,48411,1.0,
76825,48307,0.9723,
76825,48319,0.0277,
76827,48049,0.9309,
76827,48083,0.0691,
76828,48083,1.0,
76831,48299,1.0,
76832,48411,1.0,
76834,48083,1.0,
76836,48095,0.3884,
76836,48307,0.6116,
76837,48095,1.0,
76841,48267,0.0101,
76841,48327,0.3153,
76841,48413,0.6747,
76842,48319,0.5935,
76842,48411,0.4065,
